id,category,superclass,marker,affirmative,negated
4949,Exceptors,Negative quantifiers,except,Every device is accounted for.,Every device is accounted for except the expired batch.
4950,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The scientists are strong.,"The scientists are not strong, the scientists are powerful."
4951,Approximate negators,Scalar / restrictive,seldom,The engineers often recall the details.,The engineers seldom recall the details.
4952,Approximate negators,Scalar / restrictive,rarely,The nurses often read the manual.,The nurses rarely read the manual.
4953,Partial negation,Negative quantifiers,not every,Every database is calibrated.,Not every database is calibrated.
4954,Approximate negators,Scalar / restrictive,rarely,The patients often need any help.,The patients rarely need any help.
4955,Neg-raising,Clausal / discourse,don't expect,They expect that the project will succeed.,They don't expect the project will succeed.
4956,Exceptors,Negative quantifiers,but for,Every engineer is present.,Every engineer is present but for the acting chair.
4957,Prepositional negation,Lexical negation,without,The product has instructions.,The product is without instructions.
4958,Conditional negation,Clausal / discourse,unless,"If you submit the application, the account will be suspended.","Unless you submit the application, the account will be suspended."
4959,Prepositional negation,Lexical negation,free of,The apartment has windows.,The apartment is free of windows.
4960,Prepositional negation,Lexical negation,without,The recipe has salt.,The recipe is without salt.
4961,Partial negation,Negative quantifiers,not every,Every pilot is insured.,Not every pilot is insured.
4962,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The customer still hosts the podcast.,The customer has ceased hosting the podcast.
4963,Do-support auxiliary,Particle,didn't,The supervisor needed any help.,The supervisor didn't need any help.
4964,Conditional negation,Clausal / discourse,unless,"If you finish the report, the deal will be canceled.","Unless you finish the report, the deal will be canceled."
4965,Negative imperatives,Clausal / discourse,never,Always wear headphones near the machinery.,Never wear headphones near the machinery.
4966,Sentential negative quantifiers,Negative quantifiers,none,Some of the proposals were duplicated.,None of the proposals were duplicated.
4967,Neg-raising,Clausal / discourse,don't expect,I expect that the client will renew.,I don't expect the client will renew.
4968,Prepositional negation,Lexical negation,lacking,The plan has contingencies.,The plan is lacking contingencies.
4969,Restrictive/exclusive particles,Scalar / restrictive,just,Several people got approved.,Just the auditor got approved.
4970,Restrictive/exclusive particles,Scalar / restrictive,just,Several people was notified.,Just John was notified.
4971,Copula,Particle,are not,The witnesses are audible.,The witnesses are not audible.
4972,Double negation / negative concord,Double negation,not insecure,The office is secure.,The office is not insecure.
4973,Copula,Particle,isn't,The chef is reasonable.,The chef isn't reasonable.
4974,Prepositional negation,Lexical negation,without,The plan has a timeline.,The plan is without a timeline.
4975,Sentential negative quantifiers,Negative quantifiers,nothing,Something showed up in the data before noon.,Nothing showed up in the data before noon.
4976,Neg-raising,Clausal / discourse,don't expect,We expect that the software is stable.,We don't expect the software is stable.
4977,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people joined the call.,Merely the director joined the call.
4978,Do-support auxiliary,Particle,did not,The nurse trusted the plan.,The nurse did not trust the plan.
4979,Inherent negative verbs/adjectives,Lexical negation,lacked,The doctor secured funding.,The doctor lacked funding.
4980,Exceptors,Negative quantifiers,other than,Every participant is present.,Every participant is present other than the visiting scholar.
4981,Double negation / negative concord,Double negation,not insecure,The robot is secure.,The robot is not insecure.
4982,Modals,Particle,shouldn't,The witnesses should read the manual.,The witnesses shouldn't read the manual.
4983,Do-support auxiliary,Particle,didn't,The technician approved the budget.,The technician didn't approve the budget.
4984,Aspectual/presuppositional negation,Clausal / discourse,no longer,The technician still reads the newspaper.,The technician no longer reads the newspaper.
4985,Inherent negative verbs/adjectives,Lexical negation,withheld,The professor provided evidence.,The professor withheld evidence.
4986,Do-support auxiliary,Particle,didn't,The consultant read the manual.,The consultant didn't read the manual.
4987,Prepositional negation,Lexical negation,lacking,The shipment has insurance.,The shipment is lacking insurance.
4988,Modals,Particle,shouldn't,The analyst should follow the instructions.,The analyst shouldn't follow the instructions.
4989,Prepositional negation,Lexical negation,without,The apartment has an elevator.,The apartment is without an elevator.
4990,Conditional negation,Clausal / discourse,unless,"If you sign the contract, the service will stop.","Unless you sign the contract, the service will stop."
4991,Partial negation,Negative quantifiers,not all,All machines are verified.,Not all machines are verified.
4992,Partial negation,Negative quantifiers,not every,Every drone is compatible.,Not every drone is compatible.
4993,Double negation / negative concord,Double negation,not insecure,The warehouse is secure.,The warehouse is not insecure.
4994,Conditional negation,Clausal / discourse,unless,"If you attend the meeting, the fine will increase.","Unless you attend the meeting, the fine will increase."
4995,Modals,Particle,would not,The platform would support the new format.,The platform would not support the new format.
4996,Prepositional negation,Lexical negation,without,The room has furniture.,The room is without furniture.
4997,Inherent negative verbs/adjectives,Lexical negation,denied,The manager accepted responsibility.,The manager denied responsibility.
4998,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The engineers are sad.,"The engineers are not sad, the engineers are devastated."
4999,Copula,Particle,isn't,The committee is effective.,The committee isn't effective.
5000,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people was selected.,Merely the technician was selected.
5001,Conditional negation,Clausal / discourse,unless,"If you back up the data, I will call the police.","Unless you back up the data, I will call the police."
5002,Conditional negation,Clausal / discourse,unless,"If you send the invoice, I will call the police.","Unless you send the invoice, I will call the police."
5003,Affixial negation,Affixial,inconvenient,The bank is convenient.,The bank is inconvenient.
5004,Double negation / negative concord,Double negation,not illegal,The contract is legal.,The contract is not illegal.
5005,Prepositional negation,Lexical negation,minus,The plan has a budget.,The plan is minus a budget.
5006,Modals,Particle,wouldn't,The engineer would confirm the appointment.,The engineer wouldn't confirm the appointment.
5007,Correlative negation,Negative quantifiers,neither...nor,Both the actor and the director are certified.,Neither the actor nor the director is certified.
5008,Affixial negation,Affixial,immature,The supervisor is mature.,The supervisor is immature.
5009,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people took part.,The coordinator alone took part.
